,0,1,2,3,4,5,6,7,8,board_str,value
0,,,,,,,,,,",,,,,,,,",0.5
1,X,,,,,,,,,"X,,,,,,,,",0.5
2,,,,,X,,,,,",,,,X,,,,",0.5
3,,,,,,,X,,,",,,,,,X,,",0.5
4,,,,,,,,,X,",,,,,,,,X",0.5
5,,,,,,,,X,,",,,,,,,X,",0.5
6,,,,X,,,,,,",,,X,,,,,",0.5
7,,,X,,,,,,,",,X,,,,,,",0.5
8,,,,,,X,,,,",,,,,X,,,",0.5
9,,X,,,,,,,,",X,,,,,,,",0.5
10,,,,X,O,,,,,",,,X,O,,,,",0.5
11,X,,,,,,,O,,"X,,,,,,,O,",0.5
12,,,X,,,,,O,,",,X,,,,,O,",0.5
13,,X,,O,,,,,,",X,,O,,,,,",0.5
14,,,,,O,,,X,,",,,,O,,,X,",0.5
15,,,,O,,,,,X,",,,O,,,,,X",0.5
16,O,,,,,,,,X,"O,,,,,,,,X",0.5
17,,,,O,,,,X,,",,,O,,,,X,",0.5
18,,X,,,,,,O,,",X,,,,,,O,",0.5
19,,,,O,,X,,,,",,,O,,X,,,",0.5
20,,,O,,,X,,,,",,O,,,X,,,",0.5
21,O,X,,,,,,,,"O,X,,,,,,,",0.5
22,,,,,,O,X,,,",,,,,O,X,,",0.5
23,,,,,,X,O,,,",,,,,X,O,,",0.5
24,X,,,,,O,,,,"X,,,,,O,,,",0.5
25,,,,,,O,,X,,",,,,,O,,X,",0.5
26,O,,,,X,,,,,"O,,,,X,,,,",0.5
27,,,O,,,,X,,,",,O,,,,X,,",0.5
28,,,,,,,X,,O,",,,,,,X,,O",0.5
29,,,,,,,,O,X,",,,,,,,O,X",0.5
30,,O,,X,,,,,,",O,,X,,,,,",0.5
31,,O,X,,,,,,,",O,X,,,,,,",0.5
32,,O,,,X,,,,,",O,,,X,,,,",0.5
33,,,X,,,O,,,,",,X,,,O,,,",0.5
34,O,,,X,,,,,,"O,,,X,,,,,",0.5
35,O,,X,,,,,,,"O,,X,,,,,,",0.5
36,,X,,,,O,,,,",X,,,,O,,,",0.5
37,X,,,,,,O,,,"X,,,,,,O,,",0.5
38,,,,,O,,X,,,",,,,O,,X,,",0.5
39,X,O,,,,,,,,"X,O,,,,,,,",0.5
